RefactoringType,L1,L2,L3,L4,L5,L6,AuthorGroup
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/BadComparisonRuleTest.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/CloseConnectionRuleTest.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/ConstructorCallsOverridableMethodRuleTest.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/IdempotentOperationsRuleTest.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/OptimizableToArrayCallRuleTest.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/SimplifyBooleanReturnsRuleTest.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/design/ImmutableFieldRuleTest.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/design/UseSingletonRuleTest.java,extremely high
Rename Class,pmd,src,net,sourceforge,pmd,rules/junit/JUnitAssertionsShouldIncludeMessageRule.java,extremely high
Rename Class,pmd,src,net,sourceforge,pmd,rules/junit/JUnitTestsShouldContainAssertsRule.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/junit/JUnitAssertionsShouldIncludeMessageRuleTest.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/junit/JUnitTestsShouldContainAssertsRuleTest.java,extremely high
Rename Class,pmd,src,net,sourceforge,pmd,rules/ClassNamingConventionsRule.java,extremely high
Rename Class,pmd,src,net,sourceforge,pmd,rules/MethodNamingConventionsRule.java,extremely high
Rename Class,pmd,src,net,sourceforge,pmd,rules/VariableNamingConventionsRule.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/AbstractNamingRuleTest.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/ClassNamingConventionsRuleTest.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/MethodNamingConventionsRuleTest.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/ShortMethodNameRuleTest.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/VariableNamingConventionsRuleTest.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/logging/java/LoggerIsNotStaticFinalRuleTest.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/logging/java/MoreThanOneLoggerRuleTest.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/logging/java/SystemPrintlnRuleTest.java,extremely high
Rename Class,pmd,src,net,sourceforge,pmd,rules/design/ExceptionAsFlowControlRule.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/strictexception/AvoidCatchingNPERuleTest.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/strictexception/AvoidThrowingCertainExceptionTypesRuleTest.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/strictexception/ExceptionAsFlowControlRuleTest.java,extremely high
Extract Variable,pmd,src,net,sourceforge,pmd,RuleSetFactory.java,extremely high
Extract Method,pmd,regress,test,net,sourceforge,pmd/renderers/XMLRendererTest.java,extremely high
Extract Method,pmd,regress,test,net,sourceforge,pmd/renderers/XMLRendererTest.java,extremely high
Extract Method,pmd,regress,test,net,sourceforge,pmd/renderers/XMLRendererTest.java,extremely high
Extract Method,pmd,regress,test,net,sourceforge,pmd/renderers/XMLRendererTest.java,extremely high
Extract Method,pmd,regress,test,net,sourceforge,pmd/renderers/XMLRendererTest.java,extremely high
Extract Method,pmd,regress,test,net,sourceforge,pmd/renderers/XMLRendererTest.java,extremely high
Extract Method,pmd,regress,test,net,sourceforge,pmd/renderers/XMLRendererTest.java,extremely high
Parameterize Variable,pmd,regress,test,net,sourceforge,pmd/renderers/XMLRendererTest.java,extremely high
Parameterize Variable,pmd,regress,test,net,sourceforge,pmd/renderers/XMLRendererTest.java,extremely high
Parameterize Variable,pmd,regress,test,net,sourceforge,pmd/renderers/XMLRendererTest.java,extremely high
Parameterize Variable,pmd,regress,test,net,sourceforge,pmd/renderers/XMLRendererTest.java,extremely high
Parameterize Variable,pmd,regress,test,net,sourceforge,pmd/renderers/XMLRendererTest.java,extremely high
