Refactoring_id,Commit,Type
109,0a0d92baab6d414d52e47451b5fa823cdb27b7f1,"Rename Variable"
110,0a1a194d1d772cf66b03c3fc85a8a2449f82cb10,"Change Attribute Type"
111,0a1a194d1d772cf66b03c3fc85a8a2449f82cb10,"Change Parameter Type"
112,0a1a194d1d772cf66b03c3fc85a8a2449f82cb10,"Change Return Type"
113,0a1a194d1d772cf66b03c3fc85a8a2449f82cb10,"Change Variable Type"
114,0a1a194d1d772cf66b03c3fc85a8a2449f82cb10,"Rename Variable"
115,0a8566e62c049b6970b1fc708651e4d63b60b2d2,"Change Attribute Type"
116,0a8566e62c049b6970b1fc708651e4d63b60b2d2,"Change Parameter Type"
117,0b6cbe66640a89a115117c29d9542485ba1c9b41,"Change Variable Type"
118,0beeaa0b03192d3e164d58902f69e4910b53e654,"Change Attribute Type"
119,0beeaa0b03192d3e164d58902f69e4910b53e654,"Change Parameter Type"
120,0beeaa0b03192d3e164d58902f69e4910b53e654,"Change Return Type"
121,0beeaa0b03192d3e164d58902f69e4910b53e654,"Change Variable Type"
122,0beeaa0b03192d3e164d58902f69e4910b53e654,"Move Class"
123,0beeaa0b03192d3e164d58902f69e4910b53e654,"Rename Attribute"
124,0beeaa0b03192d3e164d58902f69e4910b53e654,"Rename Class"
125,0beeaa0b03192d3e164d58902f69e4910b53e654,"Rename Method"
126,0beeaa0b03192d3e164d58902f69e4910b53e654,"Rename Parameter"
127,0beeaa0b03192d3e164d58902f69e4910b53e654,"Rename Variable"
128,0c06c65e3dcaafd846c310f634a0e015c9f5f847,"Change Attribute Type"
129,0c06c65e3dcaafd846c310f634a0e015c9f5f847,"Change Parameter Type"
130,0c06c65e3dcaafd846c310f634a0e015c9f5f847,"Change Return Type"
131,0c06c65e3dcaafd846c310f634a0e015c9f5f847,"Change Variable Type"
132,0c06c65e3dcaafd846c310f634a0e015c9f5f847,"Rename Attribute"
133,0c06c65e3dcaafd846c310f634a0e015c9f5f847,"Rename Parameter"
134,0c06c65e3dcaafd846c310f634a0e015c9f5f847,"Rename Variable"
135,0c1dd8919b408a1d5b4d41f78d8b9d276e662d02,"Move Class"
136,0c1dd8919b408a1d5b4d41f78d8b9d276e662d02,"Rename Class"
137,0c1dd8919b408a1d5b4d41f78d8b9d276e662d02,"Rename Parameter"
138,0cc7700c8891701791f5bdd50b799f93b6a06f97,"Change Parameter Type"
139,0cc7700c8891701791f5bdd50b799f93b6a06f97,"Rename Method"
140,0cc7700c8891701791f5bdd50b799f93b6a06f97,"Rename Parameter"
141,0cf29aef20e072c1d264c5b4b79da37a06d19433,"Rename Attribute"
142,0d3aec1fa33ff211b2a59afd08f45954a94e4f8d,"Change Attribute Type"
143,0d3aec1fa33ff211b2a59afd08f45954a94e4f8d,"Change Parameter Type"
144,0d3aec1fa33ff211b2a59afd08f45954a94e4f8d,"Change Return Type"
145,0d3aec1fa33ff211b2a59afd08f45954a94e4f8d,"Rename Method"
146,0d3aec1fa33ff211b2a59afd08f45954a94e4f8d,"Rename Parameter"
147,0d3aec1fa33ff211b2a59afd08f45954a94e4f8d,"Rename Variable"
148,0d3f20aef7728788203657f67475e2656ea5764d,"Change Variable Type"
149,0d3f20aef7728788203657f67475e2656ea5764d,"Rename Variable"
150,0d77928e81c0add00277e7fb41644d016dd5701f,"Change Attribute Type"
151,0d94a8123a35f0224a7eac961768285a7ecfdc85,"Change Parameter Type"
152,0d94a8123a35f0224a7eac961768285a7ecfdc85,"Change Return Type"
153,0d94a8123a35f0224a7eac961768285a7ecfdc85,"Change Variable Type"
154,0d94a8123a35f0224a7eac961768285a7ecfdc85,"Rename Method"
155,0d94a8123a35f0224a7eac961768285a7ecfdc85,"Rename Parameter"
156,0d94a8123a35f0224a7eac961768285a7ecfdc85,"Rename Variable"
157,0e18708efad41369fb2a939f9202cc04e7e6a7a9,"Change Attribute Type"
158,0e18708efad41369fb2a939f9202cc04e7e6a7a9,"Change Parameter Type"
159,0e18708efad41369fb2a939f9202cc04e7e6a7a9,"Change Variable Type"
160,0e18708efad41369fb2a939f9202cc04e7e6a7a9,"Move Class"
161,0e18708efad41369fb2a939f9202cc04e7e6a7a9,"Rename Variable"
162,0e4451c9bd470eecc4ce53252ccf333c495d5c20,"Change Return Type"
163,0e4451c9bd470eecc4ce53252ccf333c495d5c20,"Change Variable Type"
164,0e4451c9bd470eecc4ce53252ccf333c495d5c20,"Move Class"
165,0e4451c9bd470eecc4ce53252ccf333c495d5c20,"Rename Attribute"
166,0e4451c9bd470eecc4ce53252ccf333c495d5c20,"Rename Method"
167,0e4451c9bd470eecc4ce53252ccf333c495d5c20,"Rename Variable"
168,0e5647f1a4d80043ba554e79d5ce6b8008303aa5,"Change Parameter Type"
169,0e5647f1a4d80043ba554e79d5ce6b8008303aa5,"Change Return Type"
170,0e5647f1a4d80043ba554e79d5ce6b8008303aa5,"Change Variable Type"
171,0e5647f1a4d80043ba554e79d5ce6b8008303aa5,"Rename Parameter"
172,0e6e04fe6abfe3ac58752e94d186c79c0e951101,"Rename Method"
173,0ed07c3b95ffdb8073c3fff54259218d8b17e56e,"Change Attribute Type"
