RefactoringType,L1,L2,L3,L4,L5,L6,AuthorGroup
Move Class,documentation,src,test,java,org,hibernate/validator/referenceguide/chapter11/valuehandling/PropertyValueExtractor.java,extremely high
Rename Class,hibernate-validator,src,test,java,org,hibernate/validator/test/constraints/impl/FutureValidatorForAbstractInstantTest.java,low
Move Attribute,hibernate-validator,src,main,java,org,hibernate/validator/constraints/impl/ModCheckValidator.java,low
Rename Variable,hibernate-validator,src,test,java,org,hibernate/validation/engine/ValidatorImplTest.java,high
Move Class,hibernate-validator,src,main,java,org,hibernate/validator/util/IdentitySet.java,extremely high
Extract Method,hibernate-validator,src,main,java,org,hibernate/validator/engine/ValidatorImpl.java,high
Rename Variable,engine,src,main,java,org,hibernate/validator/internal/engine/ValidatorFactoryImpl.java,low
Pull Up Attribute,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/ModCheckValidator.java,medium
Extract Method,engine,src,main,java,org,hibernate/validator/internal/metadata/provider/AnnotationMetaDataProvider.java,low
Move Class,hibernate-validator,src,main,java,org,hibernate/validator/MethodValidator.java,extremely high
Extract Class,engine,src,main,java,org,hibernate/validator/internal/engine/valuecontext/ValueContext.java,high
Extract Variable,engine,src,main,java,org,hibernate/validator/internal/metadata/provider/AnnotationMetaDataProvider.java,low
Extract Method,engine,src,main,java,org,hibernate/validator/internal/util/ReflectionHelper.java,low
Rename Variable,hibernate-validator,src,main,java,org,hibernate/validator/metadata/BeanMetaDataImpl.java,high
Rename Method,hibernate-validator,src,main,java,org,hibernate/validation/engine/ResourceBundleMessageInterpolator.java,extremely high
Rename Method,engine,src,main,java,org,hibernate/validator/internal/metadata/raw/AbstractConstrainedElement.java,extremely high
Rename Variable,engine,src,main,java,org,hibernate/validator/internal/engine/ValidatorImpl.java,extremely high
Rename Parameter,hibernate-validator,src,main,java,org,hibernate/validation/engine/MetaConstraint.java,high
Move Attribute,hibernate-validator,src,main,java,org,hibernate/validator/engine/ValidatorContextImpl.java,low
Move Class,engine,src,main,java,org,hibernate/validator/test/internal/constraintvalidators/Mod10CheckValidatorTest.java,medium
Rename Method,engine,src,main,java,org,hibernate/validator/internal/metadata/core/ConstraintHelper.java,medium
Rename Parameter,engine,src,main,java,org,hibernate/validator/internal/metadata/core/AnnotationProcessingOptionsImpl.java,high
Rename Method,engine,src,test,java,org,hibernate/validator/test/internal/util/ModUtilTest.java,medium
