SATD_id,Commit_id,Project_id,Satd_type,v1_comment,v2_comment
13137,3797abbd44928b4bd9c459aa1adb5a7bfc0bbc5c,3,SATD_REMOVED,"The Metrics report useless with the current PMD metrics impl.
For instance, run the coupling ruleset and you will get a boatload
of excessive imports metrics, none of which is really any use.
TODO Determine if we are going to just ignore metrics.",// Skip metrics which have no data
13138,3797abbd44928b4bd9c459aa1adb5a7bfc0bbc5c,3,SATD_REMOVED,"The Metrics report useless with the current PMD metrics impl.
For instance, run the coupling ruleset and you will get a boatload
of excessive imports metrics, none of which is really any use.
TODO Determine if we are going to just ignore metrics.",}
13166,72dd7376272aa44674e17ccf49e8c8e1ccd36412,3,SATD_REMOVED,"MCHECKSTYLE-131 ( olamy ) I dont like this hack.
(dkulp) Me either.   It really pollutes the location stuff
by allowing searches of stuff outside the current module.",None
13167,72dd7376272aa44674e17ccf49e8c8e1ccd36412,3,CLASS_OR_METHOD_CHANGED,"MCHECKSTYLE-131 ( olamy ) I dont like this hack.
(dkulp) Me either.   It really pollutes the location stuff
by allowing searches of stuff outside the current module.","MCHECKSTYLE-131 ( olamy ) I dont like this hack.
(dkulp) Me either.   It really pollutes the location stuff
by allowing searches of stuff outside the current module."
13207,4adb61d12fdb7d43633acb39e1b11c5e43b36dfb,3,SATD_REMOVED,"TODO: this needs a cleanup in plexus archiver - use a real
typesafe enum",None
13208,4adb61d12fdb7d43633acb39e1b11c5e43b36dfb,3,CLASS_OR_METHOD_CHANGED,"TODO: this should accept gz and bz2 as well so we can skip
over the switch","TODO: this should accept gz and bz2 as well so we can skip
over the switch"
13209,4adb61d12fdb7d43633acb39e1b11c5e43b36dfb,3,CLASS_OR_METHOD_CHANGED,TODO: better handling,TODO: better handling
13220,9db79e3806dc4822899a284feb7b2bf200a4239f,3,SATD_REMOVED,"TODO: Re-implement these tests on the createArchiver(..) method. For now, they're no big loss.
public void testConfigureArchiverFinalizers_ShouldDoNothingWhenNotSupportedByArchiver()",None
13232,df29ae09f06e601259ff7240fa8305c1ab1a3791,3,CLASS_OR_METHOD_CHANGED,"TODO: such a call in MavenMetadataSource too - packaging not really the intention of
type","TODO: such a call in MavenMetadataSource too - packaging not really the intention of
type"
13233,df29ae09f06e601259ff7240fa8305c1ab1a3791,3,SATD_REMOVED,"MASSEMBLY-619 is now delegated to different overload.
This probably means there is a parallel bleed between dependencies for module sets.",None
13236,e24e81ca3f931e5b5b16394cdd3d6a59de7db2a1,3,SATD_REMOVED,TODO: This is BAD! Accessors SHOULD NOT change the behavior of the object.,None
13237,e24e81ca3f931e5b5b16394cdd3d6a59de7db2a1,3,CLASS_OR_METHOD_CHANGED,TODO: This is BAD! Accessors SHOULD NOT change the behavior of the object.,TODO: This is BAD! Accessors SHOULD NOT change the behavior of the object.
13247,efe42edd050028e220cf3b0e167c6bf0cdac086e,3,SATD_REMOVED,Nicked from archiver until I can get a better solution. I am the author :),None
13248,efe42edd050028e220cf3b0e167c6bf0cdac086e,3,SATD_REMOVED,TODO use WriterFactory.newXmlWriter() when plexus-utils is upgraded to 1.4.5+,None
13249,efe42edd050028e220cf3b0e167c6bf0cdac086e,3,SATD_REMOVED,TODO use ReaderFactory.newXmlReader() when plexus-utils is upgraded to 1.4.5+,None
13261,0b6cbe66640a89a115117c29d9542485ba1c9b41,3,SATD_REMOVED,"TODO Add a noconvergence property string aligned with the other reports
should generate the convergency report, even its single Maven project.",None
13262,0b6cbe66640a89a115117c29d9542485ba1c9b41,3,SATD_REMOVED,TODO Add a nomodules property string aligned with the other reports,None
13263,0b6cbe66640a89a115117c29d9542485ba1c9b41,3,SATD_REMOVED,TODO Add a nopluginmanagement property string aligned with the other reports,None
13267,60e4041497dff973ce16c8ce134a52ac455024a2,3,SATD_REMOVED,"TODO: Will this adequately detect cycles between prefixed property references and prefixed project
references??",None
13311,8066a1e1790e68f268027f2fa1d012a247ae73c7,3,SATD_CHANGED,"TODO use WriterFactory.newXmlWriter() when plexus-utils is upgraded to 1.4.5+
$NON-NLS-1$",TODO use WriterFactory.newXmlWriter() when plexus-utils is upgraded to 1.4.5+
